dieta	peso1	peso2
3	7,4	6,7
2	5,1	4,1
1	2,5	8,8
1	1,3	3,8
3	7,4	6,7
1	1,3	3,7
3	6,1	7,3
2	3,5	9,2
2	5,1	4,2
3	7,2	3,0
2	5	5,8
3	9,2	4,0
2	5,2	1,7
3	6,1	6,7
2	2,8	0,5
2	5	6,3
3	8,2	8,8
3	6,6	8,9
3	6,6	8,8
2	5,2	2,1
2	3,5	8,7
2	2,9	6,2
1	0,3	3,9
3	8,2	8,7
3	7,2	3,5
1	0,3	3,6
2	2,8	1,1
3	7,4	6,2
1	0,3	3,1
2	5,2	1,2
2	2,9	5,9
1	0,3	3,3
2	2,9	6,7
1	0,9	4,6
3	6,6	9,2
1	2,5	9,0
1	0,3	3,0
2	5	5,9
1	1,3	3,6
2	2,8	0,3
1	0,3	4,1
1	2,5	8,6
2	3,5	8,5
3	9,2	3,7
1	0,8	1,1
1	0,9	4,4
3	8,2	9,4
1	0,8	1,2
1	0,9	4,1
3	7,2	3,3
1	0,8	0,9
3	6,1	6,8
3	9,2	4,1
2	5,1	4,1
